Year,CO2,Volcanic,Solar
889,279.148,0.004315331,1365.159568
890,279.14,0.004312921,1365.137917
891,279.129,0.004312112,1365.117451
892,279.122,0.00431184,1365.098485
893,279.109,0.004311749,1365.081332
894,279.098,0.004311718,1365.066306
895,279.086,0.004311708,1365.05372
896,279.078,0.004311704,1365.04384
897,279.07,0.004311703,1365.036743
898,279.055,0.004311703,1365.032456
899,279.045,0.004311703,1365.031007
900,279.038,0.06235401,1365.032425
901,279.021,0.043878075,1365.036739
902,279.015,0.018537796,1365.043976
903,279.002,0.009141473,1365.054165
904,278.994,0.051297116,1365.067333
905,278.989,0.033873723,1365.08351
906,278.981,0.015003862,1365.10266
907,278.961,0.007956127,1365.124492
908,278.95,0.019443283,1365.148655
909,278.938,0.013618238,1365.174793
910,278.93,0.007671464,1365.202554
911,278.918,0.005456477,1365.231585
912,278.909,0.00469771,1365.261531
913,278.899,0.004441529,1365.29204
914,278.894,0.004355333,1365.322757
915,278.883,0.004326361,1365.35333
916,278.871,0.084359882,1365.383412
917,278.866,0.054734163,1365.412683
918,278.857,0.022251307,1365.440833
919,278.849,0.01042379,1365.467548
920,278.831,0.006370748,1365.492517
921,278.817,0.005003894,1365.515427
922,278.804,0.004544276,1365.535966
923,278.792,0.004389834,1365.553823
924,278.784,0.004337949,1365.568685
925,278.772,0.004320519,1365.58024
926,278.768,0.004314664,1365.588289
927,278.753,0.004312698,1365.593082
928,278.742,0.004312037,1365.594985
929,278.74,0.055338532,1365.594362
930,278.723,0.036826966,1365.591577
931,278.713,0.015900987,1365.586994
932,278.704,0.008258148,1365.580978
933,278.696,0.005640968,1365.573892
934,278.684,0.004758537,1365.566101
935,278.679,0.004461835,1365.55797
936,278.673,0.004362138,1365.54981
937,278.658,0.004328645,1365.541723
938,278.649,0.004317394,1365.53376
939,278.644,0.186734837,1365.52597
940,278.639,0.126610224,1365.518403
941,278.63,0.048612155,1365.51111
942,278.622,0.019415328,1365.50414
943,278.617,0.009405316,1365.497544
944,278.611,0.006024931,1365.49137
945,278.615,0.004887468,1365.48567
946,278.624,0.005478864,1365.480472
947,278.63,0.032039592,1365.475723
948,278.635,0.018616399,1365.471349
949,278.635,0.009401102,1365.467275
950,278.64,0.006041828,1365.463427
951,278.652,0.004894801,1365.459731
952,278.653,0.00450779,1365.456113
953,278.661,0.02322858,1365.452497
954,278.672,0.016392391,1365.448811
955,278.699,0.008686387,1365.44498
956,278.708,0.005803155,1365.44094
957,278.719,0.004814684,1365.436669
958,278.727,0.016262744,1365.432155
959,278.735,0.011905153,1365.427389
960,278.75,0.020968657,1365.422357
961,278.757,0.015677251,1365.41705
962,278.763,0.008338196,1365.411454
963,278.775,0.005666896,1365.40556
964,278.787,0.004766154,1365.399356
965,278.796,0.004464207,1365.39283
966,278.81,0.004362909,1365.385971
967,278.82,0.004328901,1365.378768
968,278.839,0.00431748,1365.371208
969,278.854,0.004313643,1365.36328
970,278.89,0.03093937,1365.354973
971,278.907,0.021344624,1365.346274
972,278.923,0.010480515,1365.337172
973,278.949,0.006414875,1365.327655
974,278.96,0.005020986,1365.317712
975,278.963,0.004550269,1365.30733
976,278.972,0.084583061,1365.296522
977,278.978,0.056056145,1365.285392
978,278.986,0.022787277,1365.274069
979,278.996,0.010599829,1365.262681
980,279.006,0.006429365,1365.251356
981,279.008,0.005023517,1365.240223
982,279.024,0.028468046,1365.229409
983,279.038,0.019691332,1365.219044
984,279.057,0.009879637,1365.209255
985,279.069,0.006209879,1365.20017
986,279.092,0.004951841,1365.191897
987,279.115,0.004527011,1365.184458
988,279.148,0.004384062,1365.177852
989,279.169,0.004336013,1365.17208
990,279.183,0.006241415,1365.167143
991,279.201,0.005755231,1365.163041
992,279.217,0.004825259,1365.159774
993,279.241,0.00448456,1365.157343
994,279.262,0.004369658,1365.155748
995,279.278,0.004331149,1365.15499
996,279.294,0.004318232,1365.155033
997,279.314,0.004313896,1365.155698
998,279.339,0.019157591,1365.156772
999,279.358,0.013808061,1365.158038
1000,279.382,0.007750995,1365.159283
1001,279.404,0.005484283,1365.160293
1002,279.426,0.00470715,1365.160852
1003,279.448,0.069752612,1365.160746
1004,279.477,0.044452531,1365.15976
1005,279.499,0.018532121,1365.15768
1006,279.524,0.009162078,1365.154331
1007,279.541,0.005946267,1365.149696
1008,279.56,0.004861263,1365.143797
1009,279.579,0.004496362,1365.136658
1010,279.601,0.004373739,1365.128301
1011,279.63,0.029310095,1365.118748
1012,279.661,0.020296282,1365.108023
1013,279.692,0.010100658,1365.096149
1014,279.73,0.006285356,1365.083147
1015,279.76,0.004977306,1365.06904
1016,279.795,0.004535577,1365.05389
1017,279.828,0.00438694,1365.03791
1018,279.86,0.004336981,1365.021353
1019,279.892,0.004320194,1365.004471
1020,279.917,0.035772138,1364.987516
1021,279.949,0.024435369,1364.97074
1022,279.984,0.01159987,1364.954395
1023,280.018,0.006796502,1364.938733
1024,280.052,0.005149688,1364.924008
1025,280.087,0.004593558,1364.91047
1026,280.126,0.004406426,1364.898324
1027,280.164,0.004343527,1364.887582
1028,280.2,0.084021989,1364.878207
1029,280.236,0.050928635,1364.870161
1030,280.276,0.020682033,1364.86341
1031,280.313,0.009907903,1364.857916
1032,280.353,0.006198891,1364.853643
1033,280.395,0.004946351,1364.850553
1034,280.437,0.004524971,1364.848611
1035,280.48,0.004383352,1364.84778
1036,280.514,0.004335772,1364.848018
1037,280.554,0.004319788,1364.849266
1038,280.591,0.004314419,1364.851458
1039,280.632,0.023253555,1364.85453
1040,280.674,0.018514029,1364.858416
1041,280.71,0.009364923,1364.863052
1042,280.754,0.006012558,1364.868372
1043,280.793,0.004881964,1364.874311
1044,280.835,0.00450305,1364.880806
1045,280.876,0.004375948,1364.88779
1046,280.913,0.004333279,1364.895195
1047,280.955,0.00431895,1364.902937
1048,280.991,0.004314137,1364.910927
1049,281.034,0.00431252,1364.919079
1050,281.079,0.004311977,1364.927303
1051,281.128,0.004311795,1364.935513
1052,281.173,0.004311734,1364.943619
1053,281.218,0.004311713,1364.951534
1054,281.273,0.004311706,1364.959171
1055,281.328,0.004311704,1364.96644
1056,281.371,0.004311703,1364.973282
1057,281.418,0.015504475,1364.979749
1058,281.46,0.011471469,1364.985919
1059,281.512,0.006904757,1364.991872
1060,281.557,0.00519577,1364.997686
1061,281.601,0.004609849,1365.003441
1062,281.641,0.004411984,1365.009215
1063,281.685,0.004345404,1365.015089
1064,281.729,0.017636532,1365.021141
1065,281.768,0.012831859,1365.02745
1066,281.802,0.00739735,1365.0341
1067,281.838,0.016792115,1365.041192
1068,281.873,0.011976981,1365.048834
1069,281.91,0.007078677,1365.05713
1070,281.948,0.005254484,1365.066189
1071,281.983,0.0046296,1365.076114
1072,282.023,0.004418621,1365.087014
1073,282.061,0.004347634,1365.098994
1074,282.097,0.004323775,1365.112161
1075,282.133,0.004315758,1365.12662
1076,282.173,0.004313065,1365.142429
1077,282.207,0.00431216,1365.159446
1078,282.245,0.004311856,1365.177482
1079,282.282,0.004311754,1365.196344
1080,282.314,0.00431172,1365.215843
1081,282.35,0.004311708,1365.235787
1082,282.384,0.004311704,1365.255987
1083,282.416,0.004311703,1365.276251
1084,282.45,0.004311703,1365.296389
1085,282.483,0.004311703,1365.31621
1086,282.513,0.004311703,1365.335537
1087,282.547,0.004311703,1365.354246
1088,282.578,0.004311703,1365.372226
1089,282.607,0.004311703,1365.389368
1090,282.647,0.004311703,1365.40556
1091,282.68,0.004311703,1365.420692
1092,282.707,0.006416252,1365.434653
1093,282.738,0.005889706,1365.447334
1094,282.773,0.004873161,1365.458623
1095,282.804,0.004500683,1365.46841
1096,282.832,0.004375064,1365.476602
1097,282.861,0.004332963,1365.483176
1098,282.882,0.004318841,1365.488126
1099,282.915,0.0043141,1365.491446
1100,282.947,0.004312508,1365.493129
1101,282.969,0.004311973,1365.493171
1102,282.996,0.004311794,1365.491565
1103,283.021,0.004311733,1365.488305
1104,283.048,0.004311713,1365.483385
1105,283.077,0.004311706,1365.4768
1106,283.105,0.004311704,1365.468583
1107,283.135,0.004311703,1365.458927
1108,283.167,0.024968522,1365.448063
1109,283.193,0.174630896,1365.436225
1110,283.213,0.070310536,1365.423643
1111,283.232,0.028199518,1365.41055
1112,283.251,0.01248014,1365.397178
1113,283.276,0.007069555,1365.383759
1114,283.306,0.005239703,1365.370526
1115,283.331,0.019822234,1365.35771
1116,283.356,0.014138714,1365.345559
1117,283.38,0.007868005,1365.334381
1118,283.401,0.008269064,1365.3245
1119,283.42,0.006778791,1365.31624
1120,283.448,0.005181544,1365.309926
1121,283.473,0.00460441,1365.305881
1122,283.494,0.004409874,1365.304429
1123,283.517,0.00434465,1365.305894
1124,283.543,0.004322766,1365.310599
1125,283.565,0.004315418,1365.31887
1126,283.587,0.004312951,1365.33089
1127,283.61,0.076922856,1365.346283
1128,283.631,0.047519694,1365.364537
1129,283.655,0.019534559,1365.385135
1130,283.675,0.009511462,1365.407563
1131,283.699,0.006064774,1365.431306
1132,283.719,0.004901198,1365.45585
1133,283.739,0.004509792,1365.48068
1134,283.758,0.004378252,1365.505282
1135,283.779,0.004334059,1365.52914
1136,283.795,0.004319213,1365.551739
1137,283.814,0.029527418,1365.57256
1138,283.836,0.020440863,1365.591081
1139,283.854,0.010153182,1365.606782
1140,283.877,0.006303274,1365.619142
1141,283.893,0.00498335,1365.627641
